Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Opposition,1,0,285,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,1,320,1,2,1,3,440,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
kcscrag,1,1,515,4,0,0,7,440,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,440,1,0,4,3,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,1,470,2,5,0,8,360,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
kcscrag,1,1,580,5,1,0,8,360,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,360,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,1,1,105,0,0,1,2,310,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
kcscrag,1,1,370,1,0,1,3,310,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,310,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,
Week 9 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,5,5,1890,11,9,3,26,1675,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
kcscrag,5,5,2400,14,6,5,24,1675,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,0,1675,3,1,9,12,,,,,,,,,,,,,,,,,,,,,,,
